SWEEP_RUN_ID,ORIG_RUN_ID,hyb_power_scale,shift_delta,mass_scale,bat_dis_scale,actual_0_100,RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
15,19,1.0,0.2,1.0,1.0,8.7,19,0.62,2.408258,1,1,3.8,2025.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.25,1,0,0,0,0,750,7000,110.0,550.0,270.0,55.0,12.0,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
16,19,1.05,0.0,1.0,1.0,8.7,19,0.62,2.408258,1,1,3.8,2025.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.05,1,0,0,0,0,750,7000,115.5,577.5,283.5,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
17,19,1.05,0.1,1.0,1.0,8.7,19,0.62,2.408258,1,1,3.8,2025.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.15000000000000002,1,0,0,0,0,750,7000,115.5,577.5,283.5,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
18,19,1.05,0.2,1.0,1.0,8.7,19,0.62,2.408258,1,1,3.8,2025.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.25,1,0,0,0,0,750,7000,115.5,577.5,283.5,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
19,23,0.95,0.0,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.05,1,0,0,0,0,750,7000,104.5,522.5,256.5,52.25,11.399999999999999,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
20,23,0.95,0.1,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.15000000000000002,1,0,0,0,0,750,7000,104.5,522.5,256.5,52.25,11.399999999999999,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
21,23,0.95,0.2,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.25,1,0,0,0,0,750,7000,104.5,522.5,256.5,52.25,11.399999999999999,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
22,23,1.0,0.0,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.05,1,0,0,0,0,750,7000,110.0,550.0,270.0,55.0,12.0,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
23,23,1.0,0.1,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.15000000000000002,1,0,0,0,0,750,7000,110.0,550.0,270.0,55.0,12.0,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
24,23,1.0,0.2,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.25,1,0,0,0,0,750,7000,110.0,550.0,270.0,55.0,12.0,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
25,23,1.05,0.0,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.05,1,0,0,0,0,750,7000,115.5,577.5,283.5,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
26,23,1.05,0.1,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.15000000000000002,1,0,0,0,0,750,7000,115.5,577.5,283.5,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
27,23,1.05,0.2,1.0,1.0,7.8,23,0.62,2.41194,1,1,3.8,2040.0,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.25,1,0,0,0,0,750,7000,115.5,577.5,283.5,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
28,35,0.95,0.0,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,1,0,0,0,0,750,6500,125.39999999999999,627.0,321.09999999999997,52.25,11.399999999999999,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
29,35,0.95,0.1,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.15000000000000002,1,0,0,0,0,750,6500,125.39999999999999,627.0,321.09999999999997,52.25,11.399999999999999,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
30,35,0.95,0.2,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.25,1,0,0,0,0,750,6500,125.39999999999999,627.0,321.09999999999997,52.25,11.399999999999999,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
31,35,1.0,0.0,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,1,0,0,0,0,750,6500,132.0,660.0,338.0,55.0,12.0,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
32,35,1.0,0.1,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.15000000000000002,1,0,0,0,0,750,6500,132.0,660.0,338.0,55.0,12.0,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
33,35,1.0,0.2,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.25,1,0,0,0,0,750,6500,132.0,660.0,338.0,55.0,12.0,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
34,35,1.05,0.0,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,1,0,0,0,0,750,6500,138.6,693.0,354.90000000000003,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
35,35,1.05,0.1,1.0,1.0,7.1,35,0.62,2.331354,1,1,3.8,2125.0,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.15000000000000002,1,0,0,0,0,750,6500,138.6,693.0,354.90000000000003,57.75,12.600000000000001,18000,0.04,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15.0,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
